Player,Age,Season,Team,Position,Points
Lebron,19,03-04,CLE,SG,20.9
Lebron,20,04-05,CLE,SF,27.2
Lebron,21,05-06,CLE,SF,31.4
Lebron,22,06-07,CLE,SF,27.3
Lebron,23,07-08,CLE,SF,30
Lebron,24,08-09,CLE,SF,28.4
Lebron,25,09-10,CLE,SF,29.7
Lebron,26,10-11,MIA,SF,26.7
Lebron,27,11-12,MIA,SF,27.1
Lebron,28,12-13,MIA,PF,26.8
Lebron,29,13-14,MIA,PF,27.1
Lebron,30,14-15,CLE,SF,25.3
Lebron,31,15-16,CLE,SF,25.3
Lebron,32,16-17,CLE,SF,26.4
Lebron,33,17-18,CLE,SF,27.6
Jordan,21,84-85,CHI,SG,26.5
Jordan,22,85-86,CHI,SG,32.6
Jordan,23,86-87,CHI,SG,33.4
Jordan,24,87-88,CHI,SG,31.2
Jordan,25,88-89,CHI,SG,29.1
Jordan,26,89-90,CHI,SG,31
Jordan,27,90-91,CHI,SG,30.6
Jordan,28,91-92,CHI,SG,27.9
Jordan,29,92-93,CHI,SG,29.8
Jordan,31,94-95,CHI,SG,24.6
Jordan,32,95-96,CHI,SG,29
Jordan,33,96-97,CHI,SG,28.2
Jordan,34,97-98,CHI,SG,26.7
Jordan,38,01-02,WAS,SF,23.7
Jordan,39,02-03,WAS,SF,19.5